age_group,gender,province_of_residence,frequency_smoked_cannabis,frequency_vaped_cannabis,frequency_consumed_edibles
15 to 19 years old,Male,Alberta,Daily,Not at all,At least once in the past 30 days
45 to 54 years old,Not stated,Prince Edward Island,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
35 to 44 years old,Male,Quebec,"Less than once a week, but at least once",In the past month,Not at all
20 to 24 years old,Male,Manitoba,"Less than once a week, but at least once",Not at all,Not at all
35 to 44 years old,Female,Ontario,"Less than once a week, but at least once",Not at all,Not at all
45 to 54 years old,Female,Alberta,Daily,"Less than once a week, but at least once",Not at all
35 to 44 years old,Male,Quebec,Daily,Daily,Not at all
65 years old and older,Not stated,Saskatchewan,"Less than once a week, but at least once",Not at all,Not at all
15 to 19 years old,Not stated,Ontario,Not at all,"Less than once a week, but at least once",Not at all
65 years old and older,Not stated,Nova Scotia,"Less than once a week, but at least once",Daily,Not at all
20 to 24 years old,Male,Prince Edward Island,In the past month,"Less than daily, but at least once a week",Not at all
35 to 44 years old,Male,Newfoundland and Labrador,"Less than daily, but at least once a week","Less than once a week, but at least once",At least once in the past 30 days
25 to 34 years old,Female,British Columbia,Daily,"Less than once a week, but at least once",Not at all
20 to 24 years old,Female,Ontario,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
45 to 54 years old,Male,Quebec,In the past month,Daily,At least once in the past 30 days
25 to 34 years old,Not stated,Prince Edward Island,"Less than daily, but at least once a week",Not at all,Not at all
25 to 34 years old,Not stated,Alberta,Daily,Not at all,Not at all
35 to 44 years old,Not stated,Alberta,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
25 to 34 years old,Not stated,New Brunswick,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
20 to 24 years old,Male,Ontario,Not at all,Not at all,Not at all
65 years old and older,Not stated,Quebec,"Less than daily, but at least once a week",In the past month,Not at all
25 to 34 years old,Female,Quebec,"Less than daily, but at least once a week",In the past month,Not at all
20 to 24 years old,Male,British Columbia,In the past month,"Less than daily, but at least once a week",At least once in the past 30 days
35 to 44 years old,Male,British Columbia,"Less than once a week, but at least once",Not at all,Not at all
55 to 64 years old,Not stated,British Columbia,"Less than once a week, but at least once",Not at all,Not at all
65 years old and older,Not stated,Ontario,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
65 years old and older,Male,Ontario,Daily,Daily,Not at all
65 years old and older,Female,Newfoundland and Labrador,"Less than daily, but at least once a week",Not at all,Not at all
25 to 34 years old,Female,Manitoba,"Less than daily, but at least once a week",Daily,Not at all
20 to 24 years old,Female,Nova Scotia,"Less than once a week, but at least once",Not at all,Not at all
65 years old and older,Not stated,Manitoba,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
55 to 64 years old,Male,Manitoba,"Less than once a week, but at least once",In the past month,At least once in the past 30 days
25 to 34 years old,Male,Saskatchewan,"Less than daily, but at least once a week",Not at all,At least once in the past 30 days
20 to 24 years old,Female,Saskatchewan,In the past month,"Less than daily, but at least once a week",Not at all
25 to 34 years old,Male,New Brunswick,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
65 years old and older,Female,Quebec,Not at all,"Less than daily, but at least once a week",Not at all
20 to 24 years old,Female,Saskatchewan,"Less than once a week, but at least once",In the past month,Not at all
25 to 34 years old,Not stated,Saskatchewan,Not at all,"Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Not stated,British Columbia,"Less than daily, but at least once a week",Daily,Not at all
45 to 54 years old,Female,Quebec,Daily,Daily,Not at all
55 to 64 years old,Not stated,Saskatchewan,Daily,Daily,At least once in the past 30 days
45 to 54 years old,Male,Quebec,"Less than once a week, but at least once","Less than once a week, but at least once",Not at all
20 to 24 years old,Female,Prince Edward Island,"Less than once a week, but at least once",Daily,At least once in the past 30 days
35 to 44 years old,Not stated,Ontario,"Less than daily, but at least once a week","Less than once a week, but at least once",Not at all
35 to 44 years old,Not stated,Alberta,"Less than once a week, but at least once",Daily,Not at all
55 to 64 years old,Not stated,Newfoundland and Labrador,Not at all,Not at all,Not at all
65 years old and older,Not stated,Newfoundland and Labrador,In the past month,Not at all,At least once in the past 30 days
65 years old and older,Not stated,Alberta,Daily,"Less than daily, but at least once a week",Not at all
20 to 24 years old,Male,Manitoba,Not at all,Not at all,Not at all
55 to 64 years old,Female,British Columbia,Daily,Not at all,Not at all
35 to 44 years old,Female,Saskatchewan,"Less than daily, but at least once a week","Less than once a week, but at least once",Not at all
20 to 24 years old,Not stated,Manitoba,Not at all,"Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Male,Prince Edward Island,Not at all,"Less than daily, but at least once a week",Not at all
35 to 44 years old,Female,Manitoba,Not at all,Daily,At least once in the past 30 days
20 to 24 years old,Not stated,Quebec,"Less than daily, but at least once a week",In the past month,At least once in the past 30 days
45 to 54 years old,Not stated,Prince Edward Island,"Less than once a week, but at least once",In the past month,Not at all
25 to 34 years old,Female,Alberta,"Less than once a week, but at least once",Not at all,Not at all
65 years old and older,Female,Manitoba,Daily,"Less than daily, but at least once a week",At least once in the past 30 days
45 to 54 years old,Female,Newfoundland and Labrador,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
55 to 64 years old,Not stated,New Brunswick,"Less than daily, but at least once a week","Less than daily, but at least once a week",At least once in the past 30 days
55 to 64 years old,Male,Saskatchewan,Not at all,Daily,Not at all
65 years old and older,Male,Newfoundland and Labrador,"Less than once a week, but at least once",Daily,At least once in the past 30 days
35 to 44 years old,Not stated,Prince Edward Island,Daily,"Less than daily, but at least once a week",Not at all
55 to 64 years old,Male,Nova Scotia,"Less than daily, but at least once a week",Daily,At least once in the past 30 days
35 to 44 years old,Not stated,Manitoba,Daily,Not at all,At least once in the past 30 days
15 to 19 years old,Not stated,Quebec,"Less than daily, but at least once a week",In the past month,Not at all
20 to 24 years old,Female,Alberta,In the past month,Daily,At least once in the past 30 days
65 years old and older,Male,Prince Edward Island,In the past month,"Less than daily, but at least once a week",Not at all
20 to 24 years old,Male,Alberta,"Less than once a week, but at least once",Not at all,Not at all
25 to 34 years old,Male,Manitoba,Daily,In the past month,Not at all
65 years old and older,Male,Manitoba,"Less than once a week, but at least once","Less than once a week, but at least once",Not at all
65 years old and older,Male,Ontario,Not at all,In the past month,Not at all
25 to 34 years old,Female,Ontario,"Less than once a week, but at least once",Not at all,At least once in the past 30 days
45 to 54 years old,Female,Nova Scotia,Not at all,"Less than daily, but at least once a week",Not at all
25 to 34 years old,Female,Prince Edward Island,Daily,In the past month,At least once in the past 30 days
15 to 19 years old,Not stated,Prince Edward Island,Not at all,Not at all,At least once in the past 30 days
35 to 44 years old,Male,Newfoundland and Labrador,In the past month,Not at all,At least once in the past 30 days
45 to 54 years old,Male,Ontario,"Less than once a week, but at least once","Less than daily, but at least once a week",At least once in the past 30 days
25 to 34 years old,Not stated,Manitoba,In the past month,Not at all,At least once in the past 30 days
25 to 34 years old,Not stated,Newfoundland and Labrador,"Less than daily, but at least once a week",In the past month,Not at all
20 to 24 years old,Female,British Columbia,In the past month,"Less than once a week, but at least once",At least once in the past 30 days
65 years old and older,Female,Newfoundland and Labrador,"Less than once a week, but at least once",Not at all,Not at all
15 to 19 years old,Male,Newfoundland and Labrador,Daily,Not at all,Not at all
65 years old and older,Not stated,Saskatchewan,Not at all,In the past month,At least once in the past 30 days
55 to 64 years old,Male,Manitoba,Daily,"Less than once a week, but at least once",At least once in the past 30 days
25 to 34 years old,Male,British Columbia,Daily,Daily,At least once in the past 30 days
